RBD,NOM_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPE,COD_DEPE2,LATITUD,LONGITUD,RURAL_RBD,PAGO_MENSUAL,MAT_TOTAL,CUR_SIM_TOT,DC_TOT,ratio_alumno_docente,ratio_alumno_curso,categoria_dependencia,PAGO_MENSUAL_NORM,orden_precio,simce_4b_lectura_2024,simce_4b_matematica_2024,simce_2m_lectura_2024,simce_2m_matematica_2024
8485,LICEO INSTITUTO NACIONAL,13101,SANTIAGO,2,1,"-33,444870899999990","-70,65030401000000",0,GRATUITO,3155,96,227.0,13.898678414096915,32.864583333333336,MUNICIPAL_DAEM,GRATUITO,0,,,273.0,264.0
8487,LICEO JAVIERA CARRERA,13101,SANTIAGO,2,1,"-33,439210520000000","-70,65729306000000",0,GRATUITO,2386,69,162.0,14.728395061728396,34.57971014492754,MUNICIPAL_DAEM,GRATUITO,0,,,269.0,238.0
8488,LICEO N° 4 BICENTENARIO ISAURA DINATOR,13101,SANTIAGO,2,1,"-33,445604810000000","-70,67929193000001",0,GRATUITO,204,9,31.0,6.580645161290323,22.666666666666668,MUNICIPAL_DAEM,GRATUITO,0,,,265.0,242.0
8489,LICEO 6 BICENTENARIO TERESA PRATS,13101,SANTIAGO,2,1,"-33,470709850000000","-70,64581436000000",0,GRATUITO,268,12,32.0,8.375,22.33333333333333,MUNICIPAL_DAEM,GRATUITO,0,,,259.0,242.0
8490,LICEO NRO 2 MIGUEL LUIS AMUNATEGUI,13101,SANTIAGO,2,1,"-33,443668760000000","-70,67585032000000",0,GRATUITO,567,23,47.0,12.063829787234043,24.65217391304348,MUNICIPAL_DAEM,GRATUITO,0,252.0,243.0,228.0,213.0
8491,LICEO DE APLICACION RECTOR JORGE E SCHNE,13101,SANTIAGO,2,1,"-33,440939160000000","-70,66271986000000",0,GRATUITO,777,35,92.0,8.445652173913043,22.2,MUNICIPAL_DAEM,GRATUITO,0,,,246.0,250.0
8492,LICEO MANUEL BARROS BORGONO,13101,SANTIAGO,2,1,"-33,466963489999990","-70,64888825000000",0,GRATUITO,496,20,47.0,10.5531914893617,24.8,MUNICIPAL_DAEM,GRATUITO,0,,,256.0,252.0
8494,LICEO A-1 VALENTIN LETELIER,13127,RECOLETA,2,1,"-33,426739660000000","-70,64545088000000",0,GRATUITO,1042,31,85.0,12.258823529411766,33.61290322580645,MUNICIPAL_DAEM,GRATUITO,0,258.0,234.0,219.0,231.0
8495,LICEO CONFEDERACION SUIZA,13101,SANTIAGO,2,1,"-33,451304000000000","-70,63777580999999",0,GRATUITO,282,11,33.0,8.545454545454545,25.63636363636364,MUNICIPAL_DAEM,GRATUITO,0,,,220.0,211.0
8496,LICEO JOSÉ DE SAN MARTIN,13101,SANTIAGO,2,1,"-33,456134140000000","-70,65322897999999",0,GRATUITO,407,16,50.0,8.14,25.4375,MUNICIPAL_DAEM,GRATUITO,0,,,229.0,229.0
8497,LICEO GABRIELA MISTRAL,13108,INDEPENDENCIA,2,1,"-33,416046700000000","-70,65675624000001",0,GRATUITO,1105,32,73.0,15.136986301369864,34.53125,MUNICIPAL_DAEM,GRATUITO,0,298.0,272.0,244.0,242.0
8498,LICEO DARIO SALAS,13101,SANTIAGO,2,1,"-33,455643000000000","-70,66915552000000",0,GRATUITO,1288,43,98.0,13.142857142857142,29.953488372093023,MUNICIPAL_DAEM,GRATUITO,0,253.0,234.0,224.0,215.0
8499,INTERNADO NACIONAL BARROS ARANA,13101,SANTIAGO,2,1,"-33,438873500000000","-70,68307301999999",0,GRATUITO,811,33,101.0,8.029702970297029,24.57575757575757,MUNICIPAL_DAEM,GRATUITO,0,,,260.0,246.0
8500,LICEO INDUSTRIAL ELIODORO GARCIA ZEGERS,13101,SANTIAGO,2,1,"-33,437358760000000","-70,66281847000000",0,GRATUITO,701,24,69.0,10.159420289855072,29.20833333333333,MUNICIPAL_DAEM,GRATUITO,0,,,210.0,223.0
8501,LICEO POLITEC. PDTE. GABRIEL GONZALEZ VIDELA,13101,SANTIAGO,2,1,"-33,450077380000000","-70,63732245000000",0,GRATUITO,566,22,53.0,10.679245283018869,25.727272727272727,MUNICIPAL_DAEM,GRATUITO,0,,,227.0,250.0
8502,LICEO COMERCIAL LUIS CORREA PRIETO,13127,RECOLETA,5,4,"-33,422136470000000","-70,64351607000000",0,GRATUITO,638,18,30.0,21.266666666666666,35.44444444444444,ADMIN_DELEGADA,GRATUITO,0,,,235.0,239.0
8503,INST.SUP.DE COMERCIO EDUARDO FREI M.,13101,SANTIAGO,2,1,"-33,442097140000000","-70,65630131000000",0,GRATUITO,1250,36,70.0,17.857142857142858,34.72222222222222,MUNICIPAL_DAEM,GRATUITO,0,,,229.0,234.0
8504,LICEO TECNICO A N° 27 CLELIA CLAVEL DINAT,13101,SANTIAGO,5,4,"-33,443046969999990","-70,67052414000000",0,GRATUITO,712,20,32.0,22.25,35.6,ADMIN_DELEGADA,GRATUITO,0,,,231.0,217.0
8505,LICEO POLIVALENTE A-28 EMILIA TORO DE BAL,13101,SANTIAGO,5,4,"-33,441021489999990","-70,67965151999999",0,GRATUITO,754,31,46.0,16.391304347826086,24.32258064516129,ADMIN_DELEGADA,GRATUITO,0,,,243.0,266.0
8506,INSTITUTO COMERCIAL ELIODORO DOMINGUEZ DOMINGUEZ,13101,SANTIAGO,5,4,"-33,438516580000000","-70,67837947000000",0,GRATUITO,912,24,35.0,26.057142857142857,38.0,ADMIN_DELEGADA,GRATUITO,0,,,242.0,244.0
8507,LICEO COMERCIAL JOAQUIN VERA MORALES,13101,SANTIAGO,5,4,"-33,455493420000000","-70,66865263000000",0,GRATUITO,1083,34,46.0,23.543478260869566,31.852941176470587,ADMIN_DELEGADA,GRATUITO,0,,,251.0,276.0
8508,LICEO POLIVALENTE JUAN A.RIOS,13126,QUINTA NORMAL,2,1,"-33,431607659999990","-70,68697808000000",0,GRATUITO,451,14,30.0,15.033333333333331,32.214285714285715,MUNICIPAL_DAEM,GRATUITO,0,,,234.0,233.0
8510,LICEO PAULA JARAQUEMADA,13127,RECOLETA,2,1,"-33,425961860000000","-70,64693479000000",0,GRATUITO,375,12,39.0,9.615384615384617,31.25,MUNICIPAL_DAEM,GRATUITO,0,,,252.0,241.0
8511,LICEO EXPERIMENTAL ARTISTICO B-65,13119,MAIPU,5,4,"-33,432294080000000","-70,68769940999999",0,GRATUITO,584,20,74.0,7.891891891891892,29.2,ADMIN_DELEGADA,GRATUITO,0,287.0,247.0,239.0,206.0
8513,ESC. BAS. REPUBLICA ORIENTAL DE URUGUAY,13101,SANTIAGO,2,1,"-33,449866490000000","-70,64029999000000",0,GRATUITO,661,20,49.0,13.489795918367347,33.05,MUNICIPAL_DAEM,GRATUITO,0,261.0,238.0,,
8514,LICEO MULTIGENERO DOCTORA ELOISA DIAZ INZUNZA,13108,INDEPENDENCIA,2,1,"-33,409791970000000","-70,66251778000000",0,GRATUITO,1110,32,72.0,15.416666666666666,34.6875,MUNICIPAL_DAEM,GRATUITO,0,260.0,230.0,240.0,224.0
8515,ESCUELA BASICA CORNELIA OLIVARES,13108,INDEPENDENCIA,2,1,"-33,423141790000000","-70,65681424000000",0,GRATUITO,307,9,23.0,13.347826086956522,34.111111111111114,MUNICIPAL_DAEM,GRATUITO,0,285.0,290.0,,
