RBD,NOM_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPE,LATITUD,LONGITUD,RURAL_RBD,PAGO_MENSUAL,MAT_TOTAL,CUR_SIM_TOT,DC_TOT,ratio_alumno_docente,ratio_alumno_curso,categoria_dependencia,TIPO_PAGO,PAGO_MENSUAL_NORM,orden_precio,SIMCE_4B_LECT,SIMCE_4B_MATE,SIMCE_4B_AVG,SIMCE_2M_LECT,SIMCE_2M_MATE,SIMCE_2M_AVG
8485,LICEO INSTITUTO NACIONAL,13101,SANTIAGO,2,-33.44487089999999,-70.65030401,0,GRATUITO,3155,96,227.0,13.898678414096917,32.864583333333336,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,273.0,264.0,268.5
8487,LICEO JAVIERA CARRERA,13101,SANTIAGO,2,-33.43921052,-70.65729306,0,GRATUITO,2386,69,162.0,14.728395061728396,34.57971014492754,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,269.0,238.0,253.5
8488,LICEO N° 4 BICENTENARIO ISAURA DINATOR,13101,SANTIAGO,2,-33.44560481,-70.67929193,0,GRATUITO,204,9,31.0,6.580645161290323,22.666666666666668,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,265.0,242.0,253.5
8489,LICEO 6 BICENTENARIO TERESA PRATS,13101,SANTIAGO,2,-33.47070985,-70.64581436,0,GRATUITO,268,12,32.0,8.375,22.333333333333332,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,259.0,242.0,250.5
8490,LICEO NRO 2 MIGUEL LUIS AMUNATEGUI,13101,SANTIAGO,2,-33.44366876,-70.67585032,0,GRATUITO,567,23,47.0,12.063829787234043,24.652173913043477,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,252.0,243.0,247.5,228.0,213.0,220.5
8491,LICEO DE APLICACION RECTOR JORGE E SCHNE,13101,SANTIAGO,2,-33.44093916,-70.66271986,0,GRATUITO,777,35,92.0,8.445652173913043,22.2,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,246.0,250.0,248.0
8492,LICEO MANUEL BARROS BORGONO,13101,SANTIAGO,2,-33.46696348999999,-70.64888825,0,GRATUITO,496,20,47.0,10.553191489361701,24.8,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,256.0,252.0,254.0
8494,LICEO A-1 VALENTIN LETELIER,13127,RECOLETA,2,-33.42673966,-70.64545088,0,GRATUITO,1042,31,85.0,12.258823529411766,33.61290322580645,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,258.0,234.0,246.0,219.0,231.0,225.0
8495,LICEO CONFEDERACION SUIZA,13101,SANTIAGO,2,-33.451304,-70.63777581,0,GRATUITO,282,11,33.0,8.545454545454545,25.636363636363637,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,220.0,211.0,215.5
8496,LICEO JOSÉ DE SAN MARTIN,13101,SANTIAGO,2,-33.45613414,-70.65322898,0,GRATUITO,407,16,50.0,8.14,25.4375,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,229.0,229.0,229.0
