NOM_COM_RBD,ratio_docente_media,ratio_docente_std,ratio_docente_mediana,ratio_curso_media,matricula_total,docentes_total,num_colegios,num_municipal,num_subvencionado,num_pagado,pct_municipal,pct_pagado,carga_total_real
ALHUE,9.960494373187872,3.646763849312939,9.421052631578949,19.044999999999998,1545,134.0,5,0,0,0,0.0,0.0,11.529850746268657
BUIN,15.307069363898409,5.573680898578727,14.38888888888889,24.914723961837286,23793,1619.0,48,0,0,0,0.0,0.0,14.69610870907968
CALERA DE TANGO,13.794874232557211,3.740130270753428,13.009941520467835,23.173822261698202,5478,447.0,14,0,0,0,0.0,0.0,12.25503355704698
CERRILLOS,14.455475716768513,4.383903947366108,13.541666666666668,25.062893465013435,13238,886.0,32,0,0,0,0.0,0.0,14.941309255079007
CERRO NAVIA,13.897292413666182,5.205811337509533,12.428571428571429,24.312434879740746,17050,1275.0,49,21,0,0,42.857142857142854,0.0,13.372549019607844
COLINA,16.549928985251537,6.100308269243261,16.555555555555557,26.51418354617455,42358,2833.0,69,0,0,0,0.0,0.0,14.951641369572892
CONCHALI,14.503438743401517,4.801750633869558,13.761904761904765,24.4586999386995,20919,1366.0,57,0,0,0,0.0,0.0,15.314055636896047
CURACAVI,14.554081222020667,6.2733693829497215,13.61904761904762,25.05778555866791,7435,483.0,21,0,0,0,0.0,0.0,15.393374741200828
EL BOSQUE,14.682755616079788,5.246825828343048,13.53611111111111,22.703850483951467,35491,2189.0,90,0,0,0,0.0,0.0,16.2133394243947
EL MONTE,13.807856769905333,5.141329652097805,14.01590909090909,22.62167809042809,6114,488.0,24,0,0,0,0.0,0.0,12.528688524590164
ESTACION CENTRAL,15.532223503604412,5.328512655111289,14.356368563685637,25.64085874907157,26072,1614.0,58,0,0,0,0.0,0.0,16.15365551425031
HUECHURABA,14.424432681525184,3.5978397886461484,13.166666666666666,26.304735454030645,14973,1024.0,27,0,0,0,0.0,0.0,14.6220703125
INDEPENDENCIA,16.778121300903056,5.028128163499381,16.89406779661017,30.11421855627125,19448,1140.0,36,0,0,0,0.0,0.0,17.059649122807016
ISLA DE MAIPO,14.639771418636396,4.985336263996183,12.61111111111111,28.23606036262686,7268,542.0,17,0,0,0,0.0,0.0,13.409594095940959
LA CISTERNA,14.935615194338716,4.607216762797014,14.884782608695652,26.376464645455336,27020,1665.0,60,0,0,0,0.0,0.0,16.22822822822823
LA FLORIDA,13.854695933656133,5.055433439982705,13.153846153846152,23.961933975515564,69916,4780.0,177,0,0,0,0.0,0.0,14.626778242677824
LA GRANJA,12.961791844623031,5.030284155077842,12.78452380952381,21.569596240522166,19620,1387.0,54,16,0,0,29.629629629629626,0.0,14.14563806777217
LA PINTANA,13.47052075132791,3.9558743227392994,13.303030303030305,23.154608695544844,33719,2326.0,69,0,0,0,0.0,0.0,14.496560619088564
LA REINA,12.316276027689936,4.374207649983297,12.0,22.113501016479105,22592,1846.0,43,0,0,0,0.0,0.0,12.238353196099675
LAMPA,17.13410214319455,4.73471437190607,17.0,26.406920766945625,25221,1428.0,57,0,0,0,0.0,0.0,17.66176470588235
LAS CONDES,11.348158162801232,4.274891072248575,11.025,23.45527905615345,41897,3636.0,59,0,0,0,0.0,0.0,11.522827282728272
LO BARNECHEA,9.363535767290939,2.9144865839495084,9.33628841607565,22.13374556262347,21649,2187.0,30,0,0,0,0.0,0.0,9.898948331047096
LO ESPEJO,11.535646803610074,4.031199803554692,10.706315789473685,21.24007034162831,11556,974.0,36,0,0,0,0.0,0.0,11.86447638603696
LO PRADO,15.965572298921701,5.362598671195946,15.07272727272727,25.989260893447426,12365,780.0,30,13,0,0,43.333333333333336,0.0,15.852564102564102
MACUL,13.448219555148171,5.448210497131452,12.571428571428571,23.89744037808832,15708,1122.0,39,9,0,0,23.076923076923077,0.0,14.0
MAIPU,15.21402536510927,5.303038050225009,15.0,22.939496125460998,92065,5431.0,194,0,0,0,0.0,0.0,16.95175842386301
MARIA PINTO,12.03162944141205,2.2321246040046745,12.363636363636363,28.475689223057646,2363,192.0,7,0,0,0,0.0,0.0,12.307291666666666
MELIPILLA,14.136363213479509,5.824664320410927,13.142857142857142,25.967976561564345,29306,2045.0,67,0,0,0,0.0,0.0,14.330562347188264
NUNOA,11.909123371041312,5.138894409597407,11.595441595441594,23.019168702891434,37638,2787.0,74,0,0,0,0.0,0.0,13.504843918191604
PADRE HURTADO,18.114481821907226,4.303490107036738,19.0,25.45040485858426,16205,875.0,35,0,0,0,0.0,0.0,18.52
PAINE,16.29026345543774,8.514773052467845,14.268292682926829,28.405861829909018,17671,1158.0,39,0,0,0,0.0,0.0,15.25993091537133
PEDRO AGUIRRE CERDA,13.02632070595404,4.792943327482881,11.571428571428571,23.186604808306647,15791,1125.0,49,0,0,0,0.0,0.0,14.036444444444445
PENAFLOR,13.499340289393258,5.282598655498542,13.947010869565219,21.461668075835615,17709,1200.0,56,0,0,0,0.0,0.0,14.7575
PENALOLEN,13.26561364296222,4.889444179751336,12.25,23.88892901810938,37450,2764.0,69,0,0,0,0.0,0.0,13.549204052098409
PIRQUE,11.763506694172017,3.6619442756297724,12.451075268817206,24.69265873015873,4345,365.0,12,0,0,0,0.0,0.0,11.904109589041095
PROVIDENCIA,14.286644479724686,7.458446169536186,13.663352272727272,25.09932558422669,29922,2296.0,44,0,0,0,0.0,0.0,13.032229965156795
PUDAHUEL,15.755156007182654,5.427786656227253,14.273897058823529,25.730060627052787,32429,1951.0,64,19,0,0,29.6875,0.0,16.62173244490005
PUENTE ALTO,14.476927399158756,4.888637372073986,14.132075471698114,24.19006819772095,103629,6496.0,195,0,0,0,0.0,0.0,15.952740147783251
QUILICURA,18.12434559085729,6.677872902587611,17.690730837789662,28.498372880433564,43165,2317.0,58,0,0,0,0.0,0.0,18.629693569270607
QUINTA NORMAL,15.441885743320578,4.859168386594799,14.925757575757576,24.970418382500426,27358,1732.0,68,0,0,0,0.0,0.0,15.795612009237875
RECOLETA,14.348305707879597,5.228740161305457,14.146569646569645,25.446701510378848,33070,2235.0,68,0,0,0,0.0,0.0,14.79642058165548
RENCA,15.22412840381977,5.058844191161564,15.136585365853659,26.652322917539138,25215,1638.0,58,0,0,0,0.0,0.0,15.393772893772894
SAN BERNARDO,15.125917082770348,5.355403262009684,15.170967741935485,23.929931086511697,58961,3861.0,132,0,0,0,0.0,0.0,15.270914270914272
SAN JOAQUIN,13.353599776611082,5.442418800376574,12.165178571428571,22.807652744562912,11810,894.0,40,9,0,0,22.5,0.0,13.210290827740492
SAN JOSE DE MAIPO,8.83323475529358,3.7447090121575455,8.184873949579831,24.926839826839828,2593,247.0,12,0,0,0,0.0,0.0,10.497975708502024
SAN MIGUEL,14.94254074752162,5.095222143850398,14.265079365079366,25.92737225629499,26145,1655.0,64,0,0,0,0.0,0.0,15.797583081570997
SAN PEDRO,8.89131187440011,2.8140140046796245,8.019607843137255,41.55388888888889,1894,197.0,12,0,0,0,0.0,0.0,9.614213197969542
SAN RAMON,12.96939802703604,5.634135467360508,11.367647058823529,22.098268668293162,14643,1023.0,38,0,0,0,0.0,0.0,14.313782991202347
SANTIAGO,14.541501557365557,5.721911938522126,14.638707334785765,28.490313750086937,78080,5272.0,128,0,0,0,0.0,0.0,14.810318664643399
TALAGANTE,14.14354485204378,4.405047447812336,13.958333333333332,24.523646352366033,22392,1557.0,52,0,0,0,0.0,0.0,14.38150289017341
TILTIL,11.313296360628541,5.51452356139379,12.377777777777778,17.54728489304756,4102,331.0,19,0,0,0,0.0,0.0,12.392749244712991
VITACURA,11.360846490463457,3.8132141158141355,11.511904761904765,26.811106912076507,18491,1718.0,19,0,0,0,0.0,0.0,10.763096623981374
